Onset,Offset,MIDI number,Pitch name,Duration,Staff,Measure,Beat in Measure
278.0,278.5,75,D#5,0.5,1,69,2.0
278.25,278.5,81,A5,0.25,0,69,2.25
278.5,278.75,83,B5,0.25,0,69,2.5
278.5,279.0,71,B4,0.5,1,69,2.5
278.75,279.0,81,A5,0.25,0,69,2.75
279.0,279.25,84,C6,0.25,0,69,3.0
279.0,279.5,75,D#5,0.5,1,69,3.0
279.25,279.5,81,A5,0.25,0,69,3.25
279.5,279.75,83,B5,0.25,0,69,3.5
279.5,280.0,71,B4,0.5,1,69,3.5
279.75,280.0,81,A5,0.25,0,69,3.75
280.0,280.25,84,C6,0.25,0,70,0.0
280.0,280.5,75,D#5,0.5,1,70,0.0
280.25,280.5,81,A5,0.25,0,70,0.25
280.5,280.75,83,B5,0.25,0,70,0.5
280.5,281.0,71,B4,0.5,1,70,0.5
280.75,281.0,81,A5,0.25,0,70,0.75
281.0,281.25,84,C6,0.25,0,70,1.0
281.0,281.5,75,D#5,0.5,1,70,1.0
281.25,281.5,81,A5,0.25,0,70,1.25
281.5,281.75,83,B5,0.25,0,70,1.5
281.5,282.0,71,B4,0.5,1,70,1.5
281.75,282.0,81,A5,0.25,0,70,1.75
282.0,282.25,84,C6,0.25,0,70,2.0
282.0,282.5,75,D#5,0.5,1,70,2.0
282.25,282.5,81,A5,0.25,0,70,2.25
282.5,282.75,83,B5,0.25,0,70,2.5
282.5,283.0,71,B4,0.5,1,70,2.5
282.75,283.0,81,A5,0.25,0,70,2.75
283.0,283.5,75,D#5,0.5,1,70,3.0
283.0,283.25,84,C6,0.25,0,70,3.0
283.25,283.5,81,A5,0.25,0,70,3.25
283.5,284.0,71,B4,0.5,1,70,3.5
283.5,283.75,83,B5,0.25,0,70,3.5
283.75,284.0,81,A5,0.25,0,70,3.75
284.0,292.0,75,D#5,8.0,1,71,0.0
284.0,284.25,85,C#6,0.25,0,71,0.0
284.25,284.5,81,A5,0.25,0,71,0.25
284.5,284.75,83,B5,0.25,0,71,0.5
284.75,285.0,81,A5,0.25,0,71,0.75
285.0,285.25,85,C#6,0.25,0,71,1.0
285.25,285.5,81,A5,0.25,0,71,1.25
285.5,285.75,83,B5,0.25,0,71,1.5
285.75,286.0,81,A5,0.25,0,71,1.75
286.0,286.25,85,C#6,0.25,0,71,2.0
